Channel,Package,Position,Satellite,Language,Resolution,Encryption,Genre,Type
Xtsy XX.5,,113° W,EUTELSAT 113 West A,English,SD,Encoded,Adults,TV
Ten,,113° W,EUTELSAT 113 West A,English,SD,Encoded,Adults,TV
Azteca 7,,113° W,EUTELSAT 113 West A,Spanish,HD,Encoded,General,TV
Canal 6 USA,,113° W,EUTELSAT 113 West A,Spanish,HD,Encoded,,TV
Teleritmo,,113° W,EUTELSAT 113 West A,Spanish,HD,Encoded,Music,TV
Canal 6 +,,113° W,EUTELSAT 113 West A,Spanish,HD,Encoded,,TV
Canal 6 Monterrey,,113° W,EUTELSAT 113 West A,Spanish,HD,Encoded,,TV
TeleFórmula,,113° W,EUTELSAT 113 West A,Spanish,HD,Encoded,,TV
Cinema Platino,,113° W,EUTELSAT 113 West A,Spanish,HD,Encoded,Films,TV
TVC,,113° W,EUTELSAT 113 West A,Spanish,HD,Encoded,,TV
Video Rola,,113° W,EUTELSAT 113 West A,Spanish,HD,Encoded,Music,TV
TVC Deportes,,113° W,EUTELSAT 113 West A,Spanish,HD,Encoded,Sports,TV
Pánico,,113° W,EUTELSAT 113 West A,Spanish,HD,Encoded,,TV
Inglés para Todos,,113° W,EUTELSAT 113 West A,Spanish,HD,Encoded,,TV
Kids Street,,113° W,EUTELSAT 113 West A,Spanish,HD,Encoded,Children,TV
TCM US,,113° W,EUTELSAT 113 West A,English,HD,Encoded,Films,TV
Cartoon Network East,,113° W,EUTELSAT 113 West A,English,HD,Encoded,Children,TV
ESPNU,,113° W,EUTELSAT 113 West A,English,HD,Encoded,,TV
ESPN US,,113° W,EUTELSAT 113 West A,English,HD,Encoded,Sports,TV
ESPN 2 US,,113° W,EUTELSAT 113 West A,English,HD,Encoded,Sports,TV
SEC Network,,113° W,EUTELSAT 113 West A,English,HD,Encoded,Sports,TV
CNN USA,,113° W,EUTELSAT 113 West A,English,HD,Encoded,News,TV
Rai Italia Nord America,,113° W,EUTELSAT 113 West A,Italian,HD,Encoded,General,TV
Canal 22 Internacional,,113° W,EUTELSAT 113 West A,Spanish,HD,Encoded,Culture,TV
Studiocanal TV,,113° W,EUTELSAT 113 West A,French,HD,Encoded,Films,TV
Hustler HD USA,,113° W,EUTELSAT 113 West A,English,HD,Encoded,Adults,TV
Once niñas y niños,,114.9° W,EUTELSAT 115 West B,Spanish,SD,Free-to-air,Children,TV
Canal 10 Chiapas,,114.9° W,EUTELSAT 115 West B,Spanish,SD,Free-to-air,,TV
Aprende en casa II,,114.9° W,EUTELSAT 115 West B,Spanish,SD,Free-to-air,Education,TV
Justicia TV,,114.9° W,EUTELSAT 115 West B,Spanish,SD,Free-to-air,Political,TV
Canal 22 Nacional,,114.9° W,EUTELSAT 115 West B,Spanish,SD,Free-to-air,Culture,TV
TV UNAM,,114.9° W,EUTELSAT 115 West B,Spanish,SD,Free-to-air,,TV
Aprende en casa II,,114.9° W,EUTELSAT 115 West B,Spanish,SD,Free-to-air,Education,TV
Once México,,114.9° W,EUTELSAT 115 West B,Spanish,SD,Free-to-air,,TV
Canal del Congreso 45.1,,114.9° W,EUTELSAT 115 West B,Spanish,SD,Free-to-air,Political,TV
LDS Church ASL,,114.9° W,EUTELSAT 115 West B,English,SD,Free-to-air,Religious,TV
Once México,,114.9° W,EUTELSAT 115 West B,Spanish,HD,Free-to-air,,TV
Canal del Congreso 45.1,,114.9° W,EUTELSAT 115 West B,Spanish,HD,Free-to-air,Political,TV
Canal Catorce,,114.9° W,EUTELSAT 115 West B,Spanish,HD,Free-to-air,,TV
SPR,,114.9° W,EUTELSAT 115 West B,Spanish,HD,Free-to-air,,TV
SPR +2,,114.9° W,EUTELSAT 115 West B,Spanish,HD,Free-to-air,,TV
Canal Catorce,,114.9° W,EUTELSAT 115 West B,Spanish,HD,Free-to-air,,TV
LDS Church,,114.9° W,EUTELSAT 115 West B,English,HD,Free-to-air,Religious,TV
Telesecundaria,,117° W,EUTELSAT 117 West A,Spanish,SD,Free-to-air,Education,TV
Capacita TV,,117° W,EUTELSAT 117 West A,Spanish,SD,Free-to-air,Education,TV
ILCE Canal 13 Innova Conocimiento,,117° W,EUTELSAT 117 West A,Spanish,SD,Free-to-air,Education,TV
Aprende en casa 3.2,,117° W,EUTELSAT 117 West A,Spanish,SD,Free-to-air,Education,TV
Espacio Universitario,,117° W,EUTELSAT 117 West A,Spanish,SD,Free-to-air,Education,TV
Canal 22 Nacional,,117° W,EUTELSAT 117 West A,Spanish,SD,Free-to-air,Culture,TV
Telebachillerato,,117° W,EUTELSAT 117 West A,Spanish,SD,Free-to-air,Education,TV
Canal Iberoamericano,,117° W,EUTELSAT 117 West A,Spanish,SD,Free-to-air,Education,TV
Tele México,,117° W,EUTELSAT 117 West A,Spanish,SD,Free-to-air,Education,TV
TV Universidad,,117° W,EUTELSAT 117 West A,Spanish,SD,Free-to-air,Education,TV
Red de las Artes,,117° W,EUTELSAT 117 West A,Spanish,SD,Free-to-air,Education,TV
Aprende TV,,117° W,EUTELSAT 117 West A,Spanish,SD,Free-to-air,Education,TV
Canal del Congreso 45.1,,117° W,EUTELSAT 117 West A,Spanish,SD,Free-to-air,Political,TV
Especiales,,117° W,EUTELSAT 117 West A,Spanish,SD,Free-to-air,Education,TV
Telesecundaria +,,117° W,EUTELSAT 117 West A,Spanish,SD,Free-to-air,Education,TV
TV UNAM,,117° W,EUTELSAT 117 West A,Spanish,SD,Free-to-air,Education,TV
Quiero TV,,117° W,EUTELSAT 117 West A,Spanish,SD,Free-to-air,,TV
Megacanal,,117° W,EUTELSAT 117 West A,Spanish,SD,Free-to-air,,TV
