Channel,Package,Position,Satellite,Language,Resolution,Encryption,Genre,Type
Pulse,,16° E,EUTELSAT 16A,English,SD,Free-to-air,,TV
Life TV,,16° E,EUTELSAT 16A,English,SD,Free-to-air,,TV
Fresh,,16° E,EUTELSAT 16A,English,SD,Free-to-air,,TV
LOL Africa,,16° E,EUTELSAT 16A,,SD,Free-to-air,,TV
Kiddiwinks,,16° E,EUTELSAT 16A,English,SD,Free-to-air,Children,TV
Sports Connect,,16° E,EUTELSAT 16A,English,SD,Free-to-air,Sports,TV
Fight Night,,16° E,EUTELSAT 16A,,SD,Free-to-air,,TV
Romanza+ Africa,,16° E,EUTELSAT 16A,English,SD,Free-to-air,,TV
Limelight,,16° E,EUTELSAT 16A,English,SD,Free-to-air,,TV
Favorit TV,,16° E,EUTELSAT 16A,Romanian,SD,Free-to-air,,TV
Vision 4 RCA,,16° E,EUTELSAT 16A,French,SD,Free-to-air,,TV
Vision 4,,16° E,EUTELSAT 16A,French,SD,Free-to-air,,TV
Eden TV,,16° E,EUTELSAT 16A,French,SD,Free-to-air,,TV
E-Télé Benin,,16° E,EUTELSAT 16A,French,SD,Free-to-air,,TV
Liberty TV,,16° E,EUTELSAT 16A,French,SD,Free-to-air,Religious,TV
Hope TV,,16° E,EUTELSAT 16A,French,SD,Free-to-air,Religious,TV
Porte TV,,16° E,EUTELSAT 16A,French,SD,Free-to-air,Religious,TV
ImpacTV,,16° E,EUTELSAT 16A,French,SD,Free-to-air,Religious,TV
TFM,,16° E,EUTELSAT 16A,French,SD,Free-to-air,,TV
L'Obs TV,,16° E,EUTELSAT 16A,French,SD,Free-to-air,Test,TV
EuroNews Albania,DigitAlb,16° E,EUTELSAT 16A,Albanian,HD,Free-to-air,News,TV
Qausain TV,New World,16° E,EUTELSAT 16A,Hausa,HD,Free-to-air,,TV
Daawa Sunnah TV,New World,16° E,EUTELSAT 16A,Hausa,HD,Free-to-air,Religious,TV
Global TV,New World,16° E,EUTELSAT 16A,French,HD,Free-to-air,,TV
Amen TV Sat,New World,16° E,EUTELSAT 16A,French,HD,Free-to-air,Religious,TV
CT 24,,16° E,EUTELSAT 16A,Czech,HD,Free-to-air,News,TV
BN Music,,16° E,EUTELSAT 16A,Serbian,HD,Free-to-air,Music,TV
Aljazeera Balkans,,16° E,EUTELSAT 16A,Bosnian,HD,Free-to-air,News,TV
B1,,16° E,EUTELSAT 16A,Croatian,HD,Free-to-air,,TV
Franceinfo:,,16° E,EUTELSAT 16A,French,HD,Free-to-air,News,TV
TVCG MNE,Max TV,16° E,EUTELSAT 16A,Serbian,HD,Free-to-air,,TV
TV Arena,,16° E,EUTELSAT 16A,Slovenian,HD,Free-to-air,,TV
HRT 1,,16° E,EUTELSAT 16A,Croatian,HD,Free-to-air,,TV
HRT 4,,16° E,EUTELSAT 16A,Croatian,HD,Free-to-air,,TV
HRT International,,16° E,EUTELSAT 16A,Croatian,HD,Free-to-air,,TV
TV Slovenija 1,,16° E,EUTELSAT 16A,Slovenian,HD,Free-to-air,General,TV
TV Slovenija 2,,16° E,EUTELSAT 16A,Slovenian,HD,Free-to-air,General,TV
TV Slovenija 3,,16° E,EUTELSAT 16A,Slovenian,HD,Free-to-air,General,TV
Star TV,,16° E,EUTELSAT 16A,English,HD,Free-to-air,,TV
RTS 1,,16° E,EUTELSAT 16A,French,HD,Free-to-air,,TV
2S TV,,16° E,EUTELSAT 16A,French,HD,Free-to-air,,TV
RTS 2,,16° E,EUTELSAT 16A,French,HD,Free-to-air,,TV
Africa 7 TV,,16° E,EUTELSAT 16A,French,HD,Free-to-air,,TV
RTS 4,,16° E,EUTELSAT 16A,French,HD,Free-to-air,,TV
RTS 3,,16° E,EUTELSAT 16A,French,HD,Free-to-air,,TV
RTS 5,,16° E,EUTELSAT 16A,French,HD,Free-to-air,,TV
TV 21 Macedonia,,16° E,EUTELSAT 16A,Macedonian,HD,Free-to-air,,TV
ATV,,16° E,EUTELSAT 16A,Albanian,HD,Free-to-air,,TV
Prima TV,Freesat,16° E,EUTELSAT 16A,Romanian,HD,Free-to-air,,TV
Credo TV,Freesat,16° E,EUTELSAT 16A,Romanian,HD,Free-to-air,Religious,TV
Alfa Omega TV,Freesat,16° E,EUTELSAT 16A,Romanian,HD,Free-to-air,Religious,TV
RTSH Satelit,,16° E,EUTELSAT 16A,Albanian,HD,Free-to-air,General,TV
RTSH 24,,16° E,EUTELSAT 16A,Albanian,HD,Free-to-air,News,TV
RTSH Shkollë,,16° E,EUTELSAT 16A,Albanian,HD,Free-to-air,Education,TV
SNAI Virtuali 2,,16° E,EUTELSAT 16A,Italian,HD,Free-to-air,Sports,TV
SNAI Virtuali 3,,16° E,EUTELSAT 16A,Italian,HD,Free-to-air,Sports,TV
SNAI Virtuali 1,,16° E,EUTELSAT 16A,Italian,HD,Free-to-air,Sports,TV
SNAI Virtuali 8,,16° E,EUTELSAT 16A,Italian,HD,Free-to-air,Sports,TV
Equ TV,,16° E,EUTELSAT 16A,Italian,HD,Free-to-air,Sports,TV
Equinoxe TV,,16° E,EUTELSAT 16A,French,HD,Free-to-air,,TV
Bang Bang,DigitAlb,16° E,EUTELSAT 16A,Albanian,SD,Encoded,Children,TV
Explorer Shkencë,DigitAlb,16° E,EUTELSAT 16A,Albanian,SD,Encoded,Documentary,TV
Syri TV,DigitAlb,16° E,EUTELSAT 16A,Albanian,SD,Encoded,,TV
Film Komedi,DigitAlb,16° E,EUTELSAT 16A,English,SD,Encoded,Films,TV
Klan Music,DigitAlb,16° E,EUTELSAT 16A,Albanian,SD,Encoded,Music,TV
Info 24,DigitAlb,16° E,EUTELSAT 16A,Albanian,SD,Encoded,,TV
Stinët,DigitAlb,16° E,EUTELSAT 16A,Albanian,SD,Encoded,,TV
Ora News,DigitAlb,16° E,EUTELSAT 16A,Albanian,SD,Encoded,News,TV
Klan Kosova,DigitAlb,16° E,EUTELSAT 16A,Albanian,SD,Encoded,General,TV
News 24,DigitAlb,16° E,EUTELSAT 16A,Albanian,SD,Encoded,News,TV
X1,DigitAlb,16° E,EUTELSAT 16A,Albanian,SD,Encoded,Adults,TV
Junior TV,DigitAlb,16° E,EUTELSAT 16A,Albanian,SD,Encoded,Children,TV
Çufo,DigitAlb,16° E,EUTELSAT 16A,Albanian,SD,Encoded,Children,TV
My Music,DigitAlb,16° E,EUTELSAT 16A,Albanian,SD,Encoded,Music,TV
Explorer Natyra,DigitAlb,16° E,EUTELSAT 16A,Albanian,SD,Encoded,Documentary,TV
Explorer Histori,DigitAlb,16° E,EUTELSAT 16A,Albanian,SD,Encoded,Documentary,TV
Fax News,DigitAlb,16° E,EUTELSAT 16A,Albanian,SD,Encoded,News,TV
Eurofilm,DigitAlb,16° E,EUTELSAT 16A,Albanian,SD,Encoded,Films,TV
Film Autor,DigitAlb,16° E,EUTELSAT 16A,English,SD,Encoded,Films,TV
RTSH Sport,DigitAlb,16° E,EUTELSAT 16A,Albanian,SD,Encoded,Sports,TV
Film Thriller,DigitAlb,16° E,EUTELSAT 16A,English,SD,Encoded,Films,TV
Film Dramë,DigitAlb,16° E,EUTELSAT 16A,English,SD,Encoded,Films,TV
RTSH 1,DigitAlb,16° E,EUTELSAT 16A,Albanian,SD,Encoded,General,TV
Klan News,DigitAlb,16° E,EUTELSAT 16A,Albanian,SD,Encoded,News,TV
Klan Plus,DigitAlb,16° E,EUTELSAT 16A,Albanian,SD,Encoded,General,TV
Melody TV,DigitAlb,16° E,EUTELSAT 16A,Albanian,SD,Encoded,Music,TV
Zjarr TV,DigitAlb,16° E,EUTELSAT 16A,Albanian,SD,Encoded,,TV
RTSH Shkollë,DigitAlb,16° E,EUTELSAT 16A,Albanian,SD,Encoded,Education,TV
Scan,DigitAlb,16° E,EUTELSAT 16A,Albanian,SD,Encoded,Business,TV
In TV,DigitAlb,16° E,EUTELSAT 16A,Albanian,SD,Encoded,,TV
Panorama TV,DigitAlb,16° E,EUTELSAT 16A,Albanian,SD,Encoded,News,TV
Star Plus,DigitAlb,16° E,EUTELSAT 16A,Albanian,SD,Encoded,,TV
MCN TV,DigitAlb,16° E,EUTELSAT 16A,Albanian,SD,Encoded,,TV
TV Dukagjini,DigitAlb,16° E,EUTELSAT 16A,Albanian,SD,Encoded,,TV
Fox Movies Srbija,DigitAlb,16° E,EUTELSAT 16A,English,SD,Encoded,Films,TV
CGTN Français,Canal + Réunion,16° E,EUTELSAT 16A,French,SD,Encoded,General,TV
Colmax TV,Canal + Réunion,16° E,EUTELSAT 16A,French,SD,Encoded,Adults,TV
Equidia,Canal + Réunion,16° E,EUTELSAT 16A,French,SD,Encoded,Sports,TV
Game One,Canal + Réunion,16° E,EUTELSAT 16A,French,SD,Encoded,Computer,TV
Iqraa English,Canal + Réunion,16° E,EUTELSAT 16A,French,SD,Encoded,Religious,TV
L'Équipe,Canal + Réunion,16° E,EUTELSAT 16A,French,SD,Encoded,Sports,TV
Ma TV,Canal + Réunion,16° E,EUTELSAT 16A,French,SD,Encoded,,TV
Nickelodeon France,Canal + Réunion,16° E,EUTELSAT 16A,French,SD,Encoded,Children,TV
TV5Monde Afrique,Canal + Réunion,16° E,EUTELSAT 16A,French,SD,Encoded,,TV
OCS Géants,Canal + Réunion,16° E,EUTELSAT 16A,French,SD,Encoded,Films,TV
ORTC TV,Canal + Réunion,16° E,EUTELSAT 16A,French,SD,Encoded,General,TV
Planète + Aventure,Canal + Réunion,16° E,EUTELSAT 16A,French,SD,Encoded,Documentary,TV
RFM TV,Canal + Réunion,16° E,EUTELSAT 16A,French,SD,Encoded,Music,TV
Seasons,Canal + Réunion,16° E,EUTELSAT 16A,French,SD,Encoded,Documentary,TV
Zee TV Africa,Canal + Réunion,16° E,EUTELSAT 16A,Hindi,SD,Encoded,General,TV
Disney+ France,Canal + Réunion,16° E,EUTELSAT 16A,French,SD,Encoded,Children,TV
TV Record Madagascar,Canal + Réunion,16° E,EUTELSAT 16A,French,SD,Encoded,,TV
STV Folk,DigitAlb,16° E,EUTELSAT 16A,Albanian,SD,Encoded,,TV
24 Kitchen Srbija,DigitAlb,16° E,EUTELSAT 16A,English,SD,Encoded,,TV
Fox Srbija,DigitAlb,16° E,EUTELSAT 16A,Serbian,SD,Encoded,,TV
DTX East Europe,DigitAlb,16° E,EUTELSAT 16A,English|Czech,SD,Encoded,Documentary,TV
Fox Life Regional,DigitAlb,16° E,EUTELSAT 16A,English,SD,Encoded,Films,TV
Nickelodeon HD,DigitAlb,16° E,EUTELSAT 16A,English,SD,Encoded,Children,TV
Super Sonic TV,DigitAlb,16° E,EUTELSAT 16A,Albanian,SD,Encoded,Music,TV
Report TV,DigitAlb,16° E,EUTELSAT 16A,Albanian,SD,Encoded,,TV
Discovery Channel Bulgaria,DigitAlb,16° E,EUTELSAT 16A,Bulgarian,SD,Encoded,Documentary,TV
RTSH Shqip,DigitAlb,16° E,EUTELSAT 16A,Albanian,SD,Encoded,,TV
Klan Macedonia,DigitAlb,16° E,EUTELSAT 16A,Albanian,SD,Encoded,,TV
Kanal 10,DigitAlb,16° E,EUTELSAT 16A,Albanian,SD,Encoded,,TV
Novegasy,Canal + Réunion,16° E,EUTELSAT 16A,,SD,Encoded,,TV
C News,Canal + Réunion,16° E,EUTELSAT 16A,French,SD,Encoded,News,TV
Comédie +,Canal + Réunion,16° E,EUTELSAT 16A,French,SD,Encoded,,TV
E! France,Canal + Réunion,16° E,EUTELSAT 16A,French,SD,Encoded,General,TV
Gulli,Canal + Réunion,16° E,EUTELSAT 16A,French,SD,Encoded,Children,TV
Kolo TV,Canal + Réunion,16° E,EUTELSAT 16A,French,SD,Encoded,,TV
Nollywood TV,Canal + Réunion,16° E,EUTELSAT 16A,French,SD,Encoded,,TV
Utsav Bharat,Canal + Réunion,16° E,EUTELSAT 16A,Hindi,SD,Encoded,,TV
Wataaa TV,Canal + Réunion,16° E,EUTELSAT 16A,French,SD,Encoded,Sports,TV
RTA,Canal + Réunion,16° E,EUTELSAT 16A,French,SD,Encoded,,TV
Syfy France,Canal + Réunion,16° E,EUTELSAT 16A,French,SD,Encoded,Films,TV
Trace Caribbean,Canal + Réunion,16° E,EUTELSAT 16A,French,SD,Encoded,Music,TV
Zing UK,Canal + Réunion,16° E,EUTELSAT 16A,Hindi,SD,Encoded,Music,TV
Viasat History,,16° E,EUTELSAT 16A,Russian|Hungarian|Czech|Turkish,SD,Encoded,Documentary,TV
TV 1000 Balkan,,16° E,EUTELSAT 16A,English|Romanian|Bulgarian,SD,Encoded,Films,TV
Viju TV 1000 Rosskoe,,16° E,EUTELSAT 16A,Russian,SD,Encoded,Films,TV
MBS,Parabole Réunion,16° E,EUTELSAT 16A,French,SD,Encoded,,TV
Téva,Parabole Réunion,16° E,EUTELSAT 16A,French,SD,Encoded,General,TV
W9,Parabole Réunion,16° E,EUTELSAT 16A,French,SD,Encoded,Music,TV
TMC,Parabole Réunion,16° E,EUTELSAT 16A,French,SD,Encoded,General,TV
Cine + Classic,Parabole Réunion,16° E,EUTELSAT 16A,French,SD,Encoded,Films,TV
Sony Max UK,Parabole Réunion,16° E,EUTELSAT 16A,Hindi,SD,Encoded,,TV
KTO,Parabole Réunion,16° E,EUTELSAT 16A,French,SD,Encoded,Religious,TV
Dream'In,Parabole Réunion,16° E,EUTELSAT 16A,French,SD,Encoded,,TV
RTL 9,Parabole Réunion,16° E,EUTELSAT 16A,French,SD,Encoded,General,TV
Télé Kréol,Parabole Réunion,16° E,EUTELSAT 16A,,SD,Encoded,,TV
Cine + Famiz,Parabole Réunion,16° E,EUTELSAT 16A,French,SD,Encoded,Films,TV
RMC Sport 3,Parabole Réunion,16° E,EUTELSAT 16A,French,SD,Encoded,Sports,TV
Trek,Parabole Réunion,16° E,EUTELSAT 16A,French,SD,Encoded,Documentary,TV
Cine + Émotion,Parabole Réunion,16° E,EUTELSAT 16A,French,SD,Encoded,Films,TV
NRJ 12,Parabole Réunion,16° E,EUTELSAT 16A,French,SD,Encoded,Music,TV
LCP Assemblée Nationale,Parabole Réunion,16° E,EUTELSAT 16A,French,SD,Encoded,Political,TV
Public Sénat,Parabole Réunion,16° E,EUTELSAT 16A,French,SD,Encoded,Political,TV
Kwezi TV,Parabole Réunion,16° E,EUTELSAT 16A,French,SD,Encoded,,TV
TV Breizh,Parabole Réunion,16° E,EUTELSAT 16A,French,SD,Encoded,,TV
TV Palma Plus,Total TV,16° E,EUTELSAT 16A,Serbian,SD,Encoded,,TV
Parlamentarni kanal,Total TV,16° E,EUTELSAT 16A,Serbian,SD,Encoded,Political,TV
Alfa TV,Total TV,16° E,EUTELSAT 16A,Bosnian,SD,Encoded,,TV
TV 24,Total TV,16° E,EUTELSAT 16A,Macedonian,SD,Encoded,News,TV
Telma,Total TV,16° E,EUTELSAT 16A,Macedonian,SD,Encoded,,TV
MRT Sobraniski kanal,Total TV,16° E,EUTELSAT 16A,Albanian,SD,Encoded,Political,TV
Alfa TV,Total TV,16° E,EUTELSAT 16A,Macedonian,SD,Encoded,,TV
Nicktoons Adria,Total TV,16° E,EUTELSAT 16A,Serbian|Croatian|Slovenian|English,SD,Encoded,Children,TV
CineStar TV 1 Hrvatska,Total TV,16° E,EUTELSAT 16A,Croatian,SD,Encoded,Films,TV
Astra,Total TV,16° E,EUTELSAT 16A,Slovenian,SD,Encoded,,TV
Shoppster TV Srbija,Total TV,16° E,EUTELSAT 16A,Serbian,SD,Encoded,Shopping,TV
Sport Klub Esports,Total TV,16° E,EUTELSAT 16A,Serbian,SD,Encoded,Sports,TV
Crime + Investigation UK,Total TV,16° E,EUTELSAT 16A,English,SD,Encoded,,TV
Dusk,Total TV,16° E,EUTELSAT 16A,French,SD,Encoded,Adults,TV
Insajder,Total TV,16° E,EUTELSAT 16A,Serbian,SD,Encoded,,TV
TV Vijesti,Total TV,16° E,EUTELSAT 16A,Serbian,SD,Encoded,News,TV
Gradska M TV,Total TV,16° E,EUTELSAT 16A,Serbian,SD,Encoded,,TV
Grand Nostalgija,Total TV,16° E,EUTELSAT 16A,Serbian,SD,Encoded,,TV
Prima Krimi,,16° E,EUTELSAT 16A,Czech,SD,Encoded,,TV
CT :D,,16° E,EUTELSAT 16A,Czech,SD,Encoded,Children,TV
CT art,,16° E,EUTELSAT 16A,Czech,SD,Encoded,Culture,TV
Prima Love,,16° E,EUTELSAT 16A,Czech,SD,Encoded,,TV
Discovery Channel Central Europe,,16° E,EUTELSAT 16A,Czech|English,SD,Encoded,Documentary,TV
TLC Pan Regional,,16° E,EUTELSAT 16A,Czech|Hungarian|English,SD,Encoded,Documentary,TV
RTVS 24,,16° E,EUTELSAT 16A,Slovak,SD,Encoded,,TV
CS Film,Antik Sat,16° E,EUTELSAT 16A,Czech,SD,Encoded,Films,TV
CS Horror,Antik Sat,16° E,EUTELSAT 16A,Czech,SD,Encoded,Films,TV
The Fishing & Hunting Channel,Antik Sat,16° E,EUTELSAT 16A,Czech|Hungarian,SD,Encoded,,TV
Arcadia World Cesky & Slovensky,Antik Sat,16° E,EUTELSAT 16A,English,SD,Encoded,Travel,TV
Minimax Czechia,Antik Sat,16° E,EUTELSAT 16A,Czech|Hungarian,SD,Encoded,Children,TV
CS Mystery,Antik Sat,16° E,EUTELSAT 16A,Czech,SD,Encoded,Films,TV
Arena Sport 2,Antik Sat,16° E,EUTELSAT 16A,Slovak,SD,Encoded,Sports,TV
Extasy TV,Antik Sat,16° E,EUTELSAT 16A,Czech,SD,Encoded,Adults,TV
Senzi,Antik Sat,16° E,EUTELSAT 16A,Slovak,SD,Encoded,,TV
Disney Channel Hungary & Czechia,Antik Sat,16° E,EUTELSAT 16A,Czech|English|Hungarian,SD,Encoded,Children,TV
Film + Czechia,Antik Sat,16° E,EUTELSAT 16A,Czech,SD,Encoded,Films,TV
National Geographic Hungary & Czechia,Antik Sat,16° E,EUTELSAT 16A,Czech|English,SD,Encoded,Documentary,TV
Nickelodeon HD,Antik Sat,16° E,EUTELSAT 16A,Czech|English|Hungarian,SD,Encoded,Children,TV
Jojko,Antik Sat,16° E,EUTELSAT 16A,Slovak,SD,Encoded,Children,TV
Spektrum International,Antik Sat,16° E,EUTELSAT 16A,Czech|Hungarian,SD,Encoded,,TV
Spektrum Home Czech,Antik Sat,16° E,EUTELSAT 16A,Czech,SD,Encoded,General,TV
TV Paprika Czech Republic,Antik Sat,16° E,EUTELSAT 16A,Czech,SD,Encoded,,TV
JimJam Europe,Antik Sat,16° E,EUTELSAT 16A,Czech|English|Hungarian,SD,Encoded,Children,TV
AXN Czech Republic,Antik Sat,16° E,EUTELSAT 16A,Czech|English,SD,Encoded,,TV
Pink Thriller,Total TV,16° E,EUTELSAT 16A,Serbian,SD,Encoded,,TV
Pink Crime & Mystery,Total TV,16° E,EUTELSAT 16A,Serbian,SD,Encoded,,TV
Pink Romance,Total TV,16° E,EUTELSAT 16A,Serbian,SD,Encoded,,TV
Pink Sci-Fi & Fantasy,Total TV,16° E,EUTELSAT 16A,Serbian,SD,Encoded,,TV
Pink Reality,Total TV,16° E,EUTELSAT 16A,Serbian,SD,Encoded,,TV
Pink Soap,Total TV,16° E,EUTELSAT 16A,Serbian,SD,Encoded,,TV
Pink Zabava,Total TV,16° E,EUTELSAT 16A,Serbian,SD,Encoded,,TV
Pink Pedia,Total TV,16° E,EUTELSAT 16A,Serbian,SD,Encoded,,TV
Pink Hits 2,Total TV,16° E,EUTELSAT 16A,Serbian,SD,Encoded,Music,TV
Pink Koncert,Total TV,16° E,EUTELSAT 16A,Serbian,SD,Encoded,Music,TV
Pink Comedy,Total TV,16° E,EUTELSAT 16A,Serbian,SD,Encoded,,TV
Pink Horror,Total TV,16° E,EUTELSAT 16A,Serbian,SD,Encoded,,TV
Pink Folk 2,Total TV,16° E,EUTELSAT 16A,Serbian,SD,Encoded,Music,TV
Pink Style,Total TV,16° E,EUTELSAT 16A,Serbian,SD,Encoded,,TV
Pink n Roll,Total TV,16° E,EUTELSAT 16A,Serbian,SD,Encoded,,TV
Pink Hits,Total TV,16° E,EUTELSAT 16A,Serbian,SD,Encoded,Music,TV
Bravo Music,Total TV,16° E,EUTELSAT 16A,Serbian,SD,Encoded,Music,TV
Pink Plus,Total TV,16° E,EUTELSAT 16A,Serbian,SD,Encoded,General,TV
Pink Extra,Total TV,16° E,EUTELSAT 16A,Serbian,SD,Encoded,General,TV
Pink Action,Total TV,16° E,EUTELSAT 16A,Serbian,SD,Encoded,,TV
Pink Movies,Total TV,16° E,EUTELSAT 16A,Serbian,SD,Encoded,Films,TV
Pink Film,Total TV,16° E,EUTELSAT 16A,Serbian,SD,Encoded,Films,TV
Pink Music,Total TV,16° E,EUTELSAT 16A,Serbian,SD,Encoded,Music,TV
Pink Family,Total TV,16° E,EUTELSAT 16A,Serbian,SD,Encoded,Films,TV
Zadruga 1,Total TV,16° E,EUTELSAT 16A,Serbian,SD,Encoded,,TV
Pink Kids,Total TV,16° E,EUTELSAT 16A,Serbian,SD,Encoded,Children,TV
Zadruga 2,Total TV,16° E,EUTELSAT 16A,Serbian,SD,Encoded,,TV
Pink Music 2,Total TV,16° E,EUTELSAT 16A,Serbian,SD,Encoded,Music,TV
Zadruga 3,Total TV,16° E,EUTELSAT 16A,Serbian,SD,Encoded,,TV
CityPlay,Total TV,16° E,EUTELSAT 16A,Serbian,SD,Encoded,,TV
Pink Western,Total TV,16° E,EUTELSAT 16A,Serbian,SD,Encoded,Films,TV
Pink Classic,Total TV,16° E,EUTELSAT 16A,Serbian,SD,Encoded,,TV
Zadruga 4,Total TV,16° E,EUTELSAT 16A,Serbian,SD,Encoded,,TV
Pink Serije,Total TV,16° E,EUTELSAT 16A,Serbian,SD,Encoded,,TV
Pink World Cinema,Total TV,16° E,EUTELSAT 16A,Serbian,SD,Encoded,Films,TV
Pink Show,Total TV,16° E,EUTELSAT 16A,Serbian,SD,Encoded,,TV
Pink Kuvar,Total TV,16° E,EUTELSAT 16A,Serbian,SD,Encoded,,TV
Pink Super Kids,Total TV,16° E,EUTELSAT 16A,Serbian,SD,Encoded,Children,TV
Ha Ha,Total TV,16° E,EUTELSAT 16A,Serbian,SD,Encoded,,TV
Lol,Total TV,16° E,EUTELSAT 16A,Serbian,SD,Encoded,,TV
Pink Media BH,Total TV,16° E,EUTELSAT 16A,Serbian,SD,Encoded,,TV
Pink Media M,Total TV,16° E,EUTELSAT 16A,Serbian,SD,Encoded,,TV
Brainz TV,Total TV,16° E,EUTELSAT 16A,Serbian,SD,Encoded,,TV
Oto,Total TV,16° E,EUTELSAT 16A,Slovenian,SD,Encoded,,TV
Hema TV,Total TV,16° E,EUTELSAT 16A,Bosnian,SD,Encoded,,TV
O Kanal,Total TV,16° E,EUTELSAT 16A,Bosnian,SD,Encoded,,TV
Nickelodeon Europe,Total TV,16° E,EUTELSAT 16A,Serbian|Hungarian|English|Slovenian,SD,Encoded,Children,TV
Sport Klub 3,Total TV,16° E,EUTELSAT 16A,Slovenian,SD,Encoded,Sports,TV
Nick Jr Central & Eastern Europe,Total TV,16° E,EUTELSAT 16A,Serbian|English,SD,Encoded,Children,TV
Nickelodeon Europe,Total TV,16° E,EUTELSAT 16A,Croatian|English,SD,Encoded,Children,TV
Investigation Discovery Europe,Total TV,16° E,EUTELSAT 16A,English,SD,Encoded,Documentary,TV
E! Europe,Total TV,16° E,EUTELSAT 16A,English,SD,Encoded,General,TV
Golica TV,Total TV,16° E,EUTELSAT 16A,Slovenian,SD,Encoded,,TV
Fox Movies Slovenija,Total TV,16° E,EUTELSAT 16A,Slovenian,SD,Encoded,Films,TV
CineStar TV 1 Srbija,Total TV,16° E,EUTELSAT 16A,Serbian,SD,Encoded,Films,TV
CineStar TV Action Srbija,Total TV,16° E,EUTELSAT 16A,Serbian,SD,Encoded,Films,TV
AXN Adria,Total TV,16° E,EUTELSAT 16A,English,SD,Encoded,Films,TV
Pickbox TV,Total TV,16° E,EUTELSAT 16A,Croatian,SD,Encoded,,TV
Sport TV 1,Total TV,16° E,EUTELSAT 16A,Slovenian,SD,Encoded,Sports,TV
Prva Kick,Total TV,16° E,EUTELSAT 16A,Serbian,SD,Encoded,,TV
Vavoom,Total TV,16° E,EUTELSAT 16A,Serbian|Croatian|Slovenian|Macedonian|Albanian,SD,Encoded,Children,TV
Pikaboo,Total TV,16° E,EUTELSAT 16A,Croatian|Slovenian,SD,Encoded,Children,TV
Minimax Serbia,,16° E,EUTELSAT 16A,Serbian|Slovenian,SD,Encoded,Children,TV
AMC Balkan,,16° E,EUTELSAT 16A,English,SD,Encoded,Films,TV
FilmBox Arthouse Africa & Turkey & Middle East,,16° E,EUTELSAT 16A,English,SD,Encoded,Films,TV
FilmBox Arthouse Worldwide,,16° E,EUTELSAT 16A,English|Russian,SD,Encoded,Films,TV
FilmBox Stars Adria,,16° E,EUTELSAT 16A,English,SD,Encoded,Films,TV
Erox HD,,16° E,EUTELSAT 16A,English,SD,Encoded,Adults,TV
360 Tune Box,,16° E,EUTELSAT 16A,English,SD,Encoded,Music,TV
FilmBox Stars Hungary,,16° E,EUTELSAT 16A,Czech|Hungarian,SD,Encoded,Films,TV
FilmBox Premium Czechia,,16° E,EUTELSAT 16A,Czech,SD,Encoded,Films,TV
FashionBox HD,,16° E,EUTELSAT 16A,English,SD,Encoded,Fashion,TV
FilmBox Basic,,16° E,EUTELSAT 16A,English|Hungarian|Bulgarian,SD,Encoded,Films,TV
FilmBox Baltic,,16° E,EUTELSAT 16A,Russian,SD,Encoded,Films,TV
FilmBox Premium Hungary,,16° E,EUTELSAT 16A,Hungarian,SD,Encoded,Films,TV
FilmBox Family,,16° E,EUTELSAT 16A,Czech|Hungarian,SD,Encoded,Films,TV
Markíza Krimi,Antik Sat,16° E,EUTELSAT 16A,Slovak,SD,Encoded,,TV
Slágr Original,Antik Sat,16° E,EUTELSAT 16A,Czech,SD,Encoded,Music,TV
RTS 1,New World,16° E,EUTELSAT 16A,French,SD,Encoded,,TV
RTS 2,New World,16° E,EUTELSAT 16A,French,SD,Encoded,,TV
Duck TV SD,New World,16° E,EUTELSAT 16A,,SD,Encoded,Children,TV
Fix & Foxi,New World,16° E,EUTELSAT 16A,English,SD,Encoded,Children,TV
ST World Football,New World,16° E,EUTELSAT 16A,English,SD,Encoded,Sports,TV
ST Sports Premium,New World,16° E,EUTELSAT 16A,English,SD,Encoded,Sports,TV
ST Kids,New World,16° E,EUTELSAT 16A,English,SD,Encoded,Children,TV
ST Kungfu,New World,16° E,EUTELSAT 16A,English,SD,Encoded,,TV
ST Sino Drama,New World,16° E,EUTELSAT 16A,English,SD,Encoded,,TV
ST Bollywood,New World,16° E,EUTELSAT 16A,English,SD,Encoded,Films,TV
Penthouse Black,New World,16° E,EUTELSAT 16A,French,SD,Encoded,Adults,TV
Penthouse Passion,New World,16° E,EUTELSAT 16A,English,SD,Encoded,Adults,TV
Baby TV Europe,New World,16° E,EUTELSAT 16A,French,SD,Encoded,Children,TV
National Geographic France,New World,16° E,EUTELSAT 16A,French,SD,Encoded,Documentary,TV
National Geographic Wild France,New World,16° E,EUTELSAT 16A,French,SD,Encoded,Documentary,TV
ESPN Africa,New World,16° E,EUTELSAT 16A,French,SD,Encoded,Sports,TV
ESPN 2 Africa,New World,16° E,EUTELSAT 16A,English,SD,Encoded,Sports,TV
NW Transnat,New World,16° E,EUTELSAT 16A,French,SD,Encoded,,TV
Tivi5Monde,New World,16° E,EUTELSAT 16A,French,SD,Encoded,Children,TV
TV5Monde Afrique,New World,16° E,EUTELSAT 16A,French,SD,Encoded,,TV
TV5Monde Style HD,New World,16° E,EUTELSAT 16A,French,SD,Encoded,,TV
ST Sports Life,New World,16° E,EUTELSAT 16A,English,SD,Encoded,Sports,TV
ST Sports Focus,New World,16° E,EUTELSAT 16A,English,SD,Encoded,Sports,TV
