channelid,channel_category,trackers
7_1550_2995_0_1201_28306_1,{'General'},17
7_1528_2463_0_1078_28678_1,{'Music'},47
7_32_486_0_1053_21100_1,{'General'},57
7_1402_1976_0_1111_28536_1,{'General'},19
7_1550_2999_0_1201_28310_1,{'General'},33
7_1496_2815_0_1019_10304_1,{'General'},33
7_46_81_0_1040_31308_1,{'Unknown'},10
7_90_750_0_1073_28227_1,{'General'},35
7_1566_3142_0_1021_28335_1,{'General'},30
7_1446_1764_0_1025_10327_1,{'General'},36
7_1424_2108_0_1021_28340_1,{'General'},14
7_1525_2921_0_1073_28227_1,{'General'},28
7_1380_1861_0_1073_28230_1,{'General'},31
7_17_655_0_1025_10326_1,{'General'},14
7_1389_1884_0_1089_12003_1,"{'General', 'Music', 'Children'}",38
7_1554_2640_0_33_63_133,{'Documentary'},15
7_26_836_0_5_1793_133,{'Children'},9
7_1589_443_0_1113_12614_1,{'General'},32
7_22_784_0_1089_12060_1,"{'General', 'Music'}",41
7_1525_2923_0_1073_28229_1,{'General'},23
7_1514_2696_0_1053_21104_1,{'Shopping'},17
7_1433_1697_0_1005_13312_1,{'Unknown'},34
7_25_825_0_1201_28307_1,{'General'},32
7_1446_1766_0_1025_10329_1,{'General'},38
7_1389_1894_0_1089_12080_1,"{'General', 'Music', 'Children'}",42
7_1550_3000_0_1201_28311_1,{'General'},21
7_1500_2830_0_1025_10330_1,{'General'},43
7_1404_2029_0_1115_13141_1,{'General'},20
7_26_837_0_5_772_133,{'Documentary'},46
7_1566_3141_0_1021_28334_1,{'General'},13
7_1443_1750_0_1019_10302_1,"{'Music', 'Education', 'Culture'}",45
7_1525_2919_0_1073_28225_1,{'General'},38
7_1407_1934_0_1201_28308_1,{'General'},40
7_1500_2826_0_1025_10326_1,{'General'},38
7_1542_2877_0_1101_28108_1,{'General'},31
7_26_840_0_5_1794_133,{'Shopping'},18
7_1486_2760_0_1005_13312_1,{'Unknown'},26
7_66_1033_0_1021_28339_1,{'General'},42
7_1407_1935_0_1201_28309_1,{'General'},31
7_1380_1855_0_1073_28224_1,{'General'},29
7_1389_1886_0_1089_12005_1,"{'General', 'Music', 'Children'}",31
7_1412_1840_0_4_307_133,{'Sports'},12
7_1525_2925_0_1073_28231_1,{'General'},36
7_1384_1829_0_1079_28014_1,{'Documentary'},49
7_27_412_0_33_32_133,{'Travel'},48
7_1407_1933_0_1201_28307_1,{'General'},38
7_1528_2462_0_1078_28671_1,{'Music'},15
7_22_787_0_1089_12090_1,{'Unknown'},44
7_15_148_0_1010_11160_1,{'Children'},28
7_1496_2813_0_1019_10302_1,"{'Music', 'Education', 'Culture'}",44
7_1554_2629_0_33_32_133,{'Travel'},72
7_25_826_0_1201_28308_1,{'General'},18
7_25_829_0_1201_28311_1,{'General'},13
7_90_749_0_1073_28226_1,{'General'},32
7_1553_2853_0_3_341_133,{'Sports'},4
7_1397_1815_0_1101_28110_1,{'General'},40
7_1380_1862_0_1073_28231_1,{'General'},31
7_1384_1828_0_1079_28006_1,{'General'},38
7_90_754_0_1073_28231_1,{'General'},47
7_1556_3007_0_5_1793_133,{'Children'},17
7_1547_3051_0_1115_13141_1,{'General'},18
7_1400_1587_0_1108_12122_1,{'Religion'},56
7_1529_2891_0_1079_28006_1,{'General'},19
7_1566_3149_0_1021_28342_1,{'General'},19
7_22_776_0_1089_12003_1,"{'General', 'Music', 'Children'}",34
7_1411_1578_0_33_40_133,{'Shopping'},10
7_1508_2277_0_1040_31308_1,{'Unknown'},17
7_16_644_0_1019_10304_1,{'General'},38
7_27_421_0_33_77_133,{'Shopping'},15
7_1525_2922_0_1073_28228_1,{'General'},30
7_1543_3177_0_1107_17503_1,{'News'},13
7_22_777_0_1089_12004_1,"{'General', 'Music', 'Children'}",5
7_1460_1614_0_1053_21104_1,{'Shopping'},17
7_25_832_0_1201_28395_1,{None},28
7_1500_2831_0_1025_10331_1,"{'News', 'General', 'Politics'}",41
7_66_1035_0_1021_28341_1,{'General'},19
7_1567_2913_0_8_298_133,{'Sports'},4
7_17_660_0_1025_10331_1,"{'News', 'General', 'Politics'}",38
7_1554_2637_0_33_40_133,{'Shopping'},18
7_17_656_0_1025_10327_1,{'General'},35
7_1534_2957_0_1089_12080_1,"{'General', 'Music', 'Children'}",7
7_78_706_0_1101_28108_1,{'General'},14
7_1380_1852_0_1073_28205_1,{'General'},7
7_84_258_0_1078_28678_1,{'Music'},7
7_1528_2476_0_1078_28676_1,{'General'},12
7_84_259_0_1078_28680_1,{'General'},9
7_1419_1644_0_1035_2_1,{None},6
7_1411_1581_0_33_63_133,{'Documentary'},6
7_16_641_0_1019_10301_1,{'General'},29
7_1397_1814_0_1101_28108_1,{'General'},37
7_32_488_0_1053_21103_1,{'Shopping'},14
7_1411_1574_0_33_661_133,{'General'},20
7_1389_1893_0_1089_12061_1,{'General'},25
7_1411_1579_0_33_77_133,{'Shopping'},12
7_1550_2998_0_1201_28309_1,{'General'},18
7_1399_2116_0_1107_17503_1,{'News'},11
7_1012_2726_0_1035_2_1,{None},2
7_1421_1800_0_2_278_133,{'Sports'},4
7_1454_1209_0_1040_31308_1,{'Unknown'},6
7_1113_2655_0_1113_12601_1,{'Religion'},17
7_262_2045_0_1117_13018_1,{'Shopping'},6
7_22_783_0_1089_12040_1,{'General'},11
7_101_863_0_1107_17503_1,{'News'},28
7_83_722_0_1079_28011_1,{'Unknown'},11
7_1529_2892_0_1079_28014_1,{'Documentary'},30
7_78_707_0_1101_28110_1,{'General'},31
7_27_420_0_33_40_133,{'Shopping'},16
7_1565_2410_0_1068_5700_1,{'Unknown'},8
7_1397_1812_0_1101_28106_1,{'General'},14
7_1553_2848_0_3_317_133,{'Sports'},3
7_1542_2880_0_1101_28113_1,{'General'},24
7_1373_193_0_1068_5700_1,{'Unknown'},8
7_1558_2933_0_7_514_133,{'Shopping'},6
7_1383_1417_0_1078_28676_1,{'General'},8
7_1413_1949_0_5_48_133,{'Documentary'},13
7_1380_1859_0_1073_28228_1,{'General'},12
7_1566_3148_0_1021_28341_1,{'General'},14
7_1534_2949_0_1089_12005_1,"{'General', 'Music', 'Children'}",2
7_1552_3125_0_15_38_133,{'Unknown'},9
7_1531_2495_0_1082_20001_1,{'General'},11
7_1554_2638_0_33_77_133,{'Shopping'},10
7_90_745_0_1073_28206_1,{'General'},16
7_1566_3140_0_1021_28333_1,{'General'},1
7_27_416_0_33_661_133,{'General'},2
7_1424_2104_0_1021_28336_1,{'General'},13
7_1415_1877_0_7_774_133,{'Music'},4
7_1550_3002_0_1201_28386_1,{'Unknown'},18
7_1525_2924_0_1073_28230_1,{'General'},3
7_84_261_0_1078_28676_1,{'General'},3
7_1423_1351_0_1068_5700_1,{'Unknown'},9
7_1383_1404_0_1078_28678_1,{'Music'},2
7_1486_2765_0_1005_13317_1,{'Music'},2
7_1556_3006_0_5_662_133,{'Shopping'},4
7_23_792_0_1091_28820_1,{'Unknown'},13
7_96_802_0_12_287_133,{'Sports'},5
7_1389_1888_0_1089_12009_1,"{'General', 'Music', 'Children'}",2
7_84_257_0_1078_28671_1,{'Music'},1
7_32_487_0_1053_21107_1,{'Shopping'},3
7_1422_1808_0_16_552_133,{'Sports'},1
7_22_786_0_1089_12080_1,"{'General', 'Music', 'Children'}",2
7_1383_1405_0_1078_28680_1,{'General'},3
7_27_413_0_33_898_133,{'Shopping'},1
7_1558_2940_0_7_774_133,{'Music'},5
7_1430_1273_0_1002_5001_1,{'News'},1
7_1409_2094_0_15_38_133,{'Unknown'},2
7_28_890_0_1115_13141_1,{'General'},1
7_1403_1994_0_1113_12616_1,{'Shopping'},1
